X,Y,Estado,Nome,Geocodigo,lat,long,cod,icon_url
-44.3069142482542,-19.7644884861299,MG,Esmeraldas,3124104.00000000000,7814475.65799999982,572654.42762600002,"0",./0.png
-44.0808908483938,-19.9161386150893,MG,Contagem,3118601.00000000000,7797579.91301999986,596243.14406600001,"0",./0.png
-44.0848782489385,-19.7625448401702,MG,Ribeirão das Neves,3154606.00000000000,7814580.33631000016,595917.90296700003,"0",./0.png
-44.2416813376985,-19.4573710050523,MG,Sete Lagoas,3167202.00000000000,7848433.01223000046,579639.45165499998,"0",./0.png
-44.1307777598977,-19.5475360981901,MG,Capim Branco,3112505.00000000000,7838399.86548999976,591230.25798999995,"0",./0.png
-44.0872127101399,-19.5547872445701,MG,Matozinhos,3141108.00000000000,7837573.63386000041,595796.44564900000,"0",./0.png
-44.1595002660829,-19.4746822276471,MG,Prudente de Morais,3153608.00000000000,7846477.20786000043,588256.43148899998,"0",./0.png
-44.4047926632755,-19.2736606280367,MG,Paraopeba,3147402.00000000000,7868829.26771000028,562588.40567400004,"0",./0.png
-44.322839729655,-19.1228623007387,MG,Cordisburgo,3118908.00000000000,7885484.59693000000,571265.01589100005,"0",./0.png
-44.2497335491173,-19.1959767791419,MG,Araçaí,3103207.00000000000,7877362.58079000004,578919.48055700003,"0",./0.png
-44.0614013630448,-19.3665999051518,MG,Funilândia,3127206.00000000000,7858384.87961000018,598617.83065599995,"0",./0.png
-44.0413367558988,-18.9967108146183,MG,Santana de Pirapama,3158508.00000000000,7899306.06947000045,600950.17484400002,"0",./0.png
-44.6014706604944,-18.5360525760905,MG,Morro da Garça,3143609.00000000000,7950503.53541999962,542105.72179400001,"0",./0.png
-44.5739154023496,-17.8874380851763,MG,Lassance,3138104.00000000000,8022260.00447000004,545180.54052599997,"0",./0.png
-44.4306844096442,-18.7531963148997,MG,Curvelo,3120904.00000000000,7926428.80398000032,560054.20441400004,"0",./0.png
-44.3587978413036,-18.7275934079292,MG,Inimutaba,3131109.00000000000,7929236.03932000045,567641.86251400004,"0",./0.png
-44.4546063615537,-18.369428156654,MG,Corinto,3119104.00000000000,7968899.03751999978,557661.38043400005,"0",./0.png
-44.0604553582899,-18.6405704861447,MG,Presidente Juscelino,3153202.00000000000,7938726.18496000022,599146.19768900005,"0",./0.png
-44.2232798389533,-18.2972292728426,MG,Santo Hipólito,3160603.00000000000,7976798.83437000029,582134.01107899996,"0",./0.png
-44.2659459905066,-18.1001742080794,MG,Augusto de Lima,3104809.00000000000,7998620.77484999970,577711.85196999996,"0",./0.png
-44.1183982454663,-18.3249335973668,MG,Monjolos,3142502.00000000000,7973682.97673000023,593204.42147800000,"0",./0.png
-44.17792706338,-17.8748920009943,MG,Buenópolis,3109204.00000000000,8023507.93080999982,587135.76089499996,"0",./0.png
